"","model_spec","sid","method","regression_type","hajek","a","alpha","mean_est","mean_bias","coverage","failures","ase","ese","nsims"
"42","tcor_omis",9,"otc","none",FALSE,1,0.9,3.36418419760988,-0.142162119981527,0.753581661891118,0,0.112465733343071,0.111218014185946,698
"43","tcor_omis",9,"wls_dbr","wls",FALSE,0,0.1,1.59440118997924,0.888054872387838,0.393982808022923,0,0.809296979373075,2.45378895899458,698
"44","tcor_omis",9,"wls_dbr","wls",FALSE,0,0.5,1.10869443589719,0.00234811830578318,0.883954154727794,0,0.0754787139457906,0.092809510830377,698
"45","tcor_omis",9,"wls_dbr","wls",FALSE,0,0.9,1.97401564236434,0.467669324772933,0.434097421203438,0,0.398839743845434,1.11464174649348,698
"46","tcor_omis",9,"wls_dbr","wls",FALSE,1,0.1,2.94736624802634,0.241019930434938,0.426934097421203,0,1.31568486894633,3.87634530934376,698
"47","tcor_omis",9,"wls_dbr","wls",FALSE,1,0.5,3.08500054069916,-0.0213457768922397,0.905444126074499,0,0.0859424042743597,0.0944931588651575,698
"48","tcor_omis",9,"wls_dbr","wls",FALSE,1,0.9,3.44833910198515,-0.0580072156062586,0.441260744985673,0,0.182841745230468,0.559721650031169,698
"49","tmis_ocor",9,"dbr","none",FALSE,0,0.1,0.634697106332144,-0.0716492112592594,0.954154727793696,0,0.227217296264538,1.71989083164605,698
"50","tmis_ocor",9,"dbr","none",FALSE,0,0.5,1.08753708559912,-0.0188092319922875,0.939828080229226,0,0.0500255966803792,0.0492780459576771,698
"51","tmis_ocor",9,"dbr","none",FALSE,0,0.9,1.46923860847035,-0.0371077091210585,0.92836676217765,0,0.369711680683601,1.3416871165707,698
"52","tmis_ocor",9,"dbr","none",FALSE,1,0.1,3.01854180569634,0.312195488104935,0.949856733524355,0,0.520773804341964,4.93488232070996,698
"53","tmis_ocor",9,"dbr","none",FALSE,1,0.5,3.09010519529828,-0.0162411222931232,0.926934097421203,0,0.0503132586822694,0.0513689846505447,698
"54","tmis_ocor",9,"dbr","none",FALSE,1,0.9,3.47705188460553,-0.0292944329858758,0.918338108882522,0,0.193663484210239,1.25302208898897,698
"55","tmis_ocor",9,"ipw","none",FALSE,0,0.1,0.611251938624482,-0.0950943789669217,0.0730659025787966,0,0.666390030033678,7.6616442157923,698
"56","tmis_ocor",9,"ipw","none",FALSE,0,0.5,1.29682180292148,0.190475485330076,0.411174785100287,0,0.0900354522615414,0.0861992331230787,698
"57","tmis_ocor",9,"ipw","none",FALSE,0,0.9,1.84289764811747,0.336551330526063,0.547277936962751,0,1.27984303446267,3.47382252491689,698
"58","tmis_ocor",9,"ipw","none",FALSE,1,0.1,3.09795435853328,0.391608040941876,0.106017191977077,0,3.37543096575647,37.1008379553329,698
"59","tmis_ocor",9,"ipw","none",FALSE,1,0.5,2.96009672600946,-0.146249591581944,0.746418338108882,0,0.118554911709028,0.111078299317542,698
"60","tmis_ocor",9,"ipw","none",FALSE,1,0.9,3.88010714430352,0.37376082671212,0.376790830945559,0,2.97372758586531,18.103231647914,698
"61","tmis_ocor",9,"otc","none",FALSE,0,0.1,0.703351985503748,-0.00299433208765604,0.954154727793696,0,0.0874080174679426,0.0863223402656579,698
"62","tmis_ocor",9,"otc","none",FALSE,0,0.5,1.08794213434366,-0.0184041832477473,0.932664756446991,0,0.0475827982109849,0.047276535073237,698
"63","tmis_ocor",9,"otc","none",FALSE,0,0.9,1.47253228318357,-0.0338140344078385,0.919770773638969,0,0.0697998585596872,0.0667993797103442,698
"64","tmis_ocor",9,"otc","none",FALSE,1,0.1,2.70486032130988,-0.00148599628152776,0.955587392550143,0,0.0938602891199843,0.0935369794803486,698
"65","tmis_ocor",9,"otc","none",FALSE,1,0.5,3.08945047014978,-0.0168958474416194,0.919770773638969,0,0.0482519945000005,0.0491918566419718,698
"66","tmis_ocor",9,"otc","none",FALSE,1,0.9,3.47404061898969,-0.0323056986017109,0.921203438395416,0,0.0619206907139802,0.0594480698679631,698
"67","tmis_ocor",9,"wls_dbr","wls",FALSE,0,0.1,0.712640603824186,0.00629428623278218,0.504297994269341,0,0.411868036423444,1.07660403532241,698
"68","tmis_ocor",9,"wls_dbr","wls",FALSE,0,0.5,1.08740558635151,-0.0189407312398936,0.935530085959885,0,0.0497887031582993,0.0493869750258724,698
"69","tmis_ocor",9,"wls_dbr","wls",FALSE,0,0.9,1.47795441463961,-0.0283919029517912,0.478510028653295,0,0.206899242835148,0.596043044628295,698
"70","tmis_ocor",9,"wls_dbr","wls",FALSE,1,0.1,2.63340847851015,-0.0729378390812492,0.451289398280802,0,0.617752846271326,1.7815930223594,698
"71","tmis_ocor",9,"wls_dbr","wls",FALSE,1,0.5,3.09022264145987,-0.0161236761315334,0.925501432664756,0,0.0524247947168872,0.0542751744693732,698
"72","tmis_ocor",9,"wls_dbr","wls",FALSE,1,0.9,3.47409438298164,-0.0322519346097611,0.537249283667622,0,0.0942124198237879,0.249178586849696,698
"73","tmis_omis",9,"dbr","none",FALSE,0,0.1,0.717000881489629,0.0106545638982249,0.853868194842407,0,0.41250547870987,3.0449057447195,698
"74","tmis_omis",9,"dbr","none",FALSE,0,0.5,1.29409517219706,0.187748854605654,0.285100286532951,0,0.0717245493362911,0.0741675274495096,698
"75","tmis_omis",9,"dbr","none",FALSE,0,0.9,1.83111220777065,0.324765890179244,0.760744985673352,0,0.671696736919306,1.78689822914042,698
"76","tmis_omis",9,"dbr","none",FALSE,1,0.1,3.09953551676157,0.393189199170165,0.782234957020057,0,1.05277767733989,9.46794963618774,698
"77","tmis_omis",9,"dbr","none",FALSE,1,0.5,2.92393132381174,-0.182414993779665,0.376790830945559,0,0.0792789532369792,0.0808141403399896,698
"78","tmis_omis",9,"dbr","none",FALSE,1,0.9,3.34938939519494,-0.156956922396463,0.803724928366762,0,0.34496524193748,1.54454680149416,698
